Sample_ID,ACR_Class,ANXA5,AP1M1,C1GALT1C1,CLK1,EFTUD2,MAP1A,SENP6,SENP7,TSC22D1,SPCS3,ZMAT1,ETAA1,ZNF493,CCDC82,NFYB,F13A1,TUBB1,Set_Type,probability,numbers
R.2457.8,0,13.150631,12.042137,11.19176,14.26838,10.921671,6.602392,11.488396,11.943712,9.917687,11.584496,8.953149,10.20053,11.367537,11.413052,10.979503,10.050954,12.42573,0,0.239136549,64
R.4677.13.R,1,13.113513,12.161777,10.523375,13.327393,10.175451,8.032494,11.510681,11.29188,10.477947,11.396429,8.688539,8.959643,11.511661,9.336828,9.226504,12.628344,15.14355,0,0.242741246,65
R.667.15,0,13.602428,12.606382,10.317736,13.069979,11.035651,10.096313,10.982003,11.826474,10.959319,11.363937,7.185173,6.840728,10.101396,8.684666,7.892471,13.610473,15.273387,0,0.243656157,66
R.2838.7,0,13.906812,12.412771,10.169525,12.375879,11.323778,6.951844,10.250843,11.467053,10.807139,11.664207,8.163076,8.298698,10.305741,8.944341,8.15009,12.730371,14.193931,0,0.249065926,67
R.1397.15,0,13.926777,12.521864,10.337075,12.735349,11.546713,9.431892,10.528865,12.293695,12.358004,11.778367,7.851192,8.259832,10.6216,9.210922,8.465641,13.820954,15.448734,0,0.251120854,68
R.4597.13,0,13.655324,12.513023,10.840356,13.311572,10.525432,6.527987,11.072113,11.832112,9.536468,12.121994,7.600966,8.339225,10.658047,10.390653,9.099274,10.998511,12.31256,0,0.253521282,69
R.623.13,0,13.610512,12.086046,10.353649,13.07153,11.099513,7.153629,10.312256,10.946587,9.59346,10.963483,7.767935,8.206543,10.036329,9.987526,8.636137,10.997705,12.680844,0,0.260585488,70
R.649.27,1,12.751412,11.5577,10.499475,13.840964,10.907123,6.00092,10.479276,11.593021,9.950677,11.795583,8.111633,9.594444,10.727544,11.19713,10.621786,10.149312,10.954008,0,0.267482258,71
R.679.34.20A1,0,13.743103,12.513206,10.758997,12.91519,10.932332,7.714422,10.195134,11.637148,10.184334,11.138867,8.051085,7.66219,10.396542,9.175105,8.152548,12.379628,14.184442,0,0.271615314,72
R.556.2,0,13.104661,12.571735,10.657785,12.680524,10.521246,7.340674,10.555317,11.533788,9.652952,11.580352,7.510599,8.33465,10.446408,9.343676,8.38798,11.385068,13.291181,0,0.276229448,73
